order,perry,tier,tier_label,difficulty,word_count,unique_words,sentences,avg_word_len,urn_reference
1,257,1,Simple,18.8,26,25,2,4.9,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:257
2,184,1,Simple,19.9,28,26,2,5.2,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:184
3,365,1,Simple,22.3,32,30,0,4.9,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:365
4,45,1,Simple,22.7,31,31,2,5.8,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:45
5,374,1,Simple,23.1,32,32,1,4.8,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:374
6,288,1,Simple,24.5,34,34,1,5.2,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:288
7,250,1,Simple,24.7,35,32,3,5.3,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:250
8,256,1,Simple,25.7,35,35,3,5.7,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:256
9,229,1,Simple,26.7,39,34,2,5.1,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:229
10,15,1,Simple,26.8,37,35,4,6.6,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:15
11,199,1,Simple,26.8,38,35,3,5.3,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:199
12,202,1,Simple,26.9,37,36,3,6.6,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:202
13,378,1,Simple,27.2,38,36,3,5.7,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:378
14,322,1,Simple,27.7,39,36,4,5.3,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:322
15,213,1,Simple,28.2,39,38,3,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:213
16,289,1,Simple,28.2,40,39,0,5.4,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:289
17,346,1,Simple,28.5,40,38,3,4.7,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:346
18,192,1,Simple,28.6,40,39,2,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:192
19,174,1,Simple,29.1,42,37,3,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:174
20,87,1,Simple,29.3,42,38,3,5.2,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:87
21,98,1,Simple,29.4,43,37,3,4.6,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:98
22,27,1,Simple,29.5,42,39,2,5.7,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:27
23,29,1,Simple,29.5,41,40,3,5.2,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:29
24,80,1,Simple,29.9,42,39,4,6.1,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:80
25,303,1,Simple,30.1,44,38,3,5.2,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:303
26,139,1,Simple,30.3,42,41,3,6.2,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:139
27,126,1,Simple,30.5,43,41,2,5.6,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:126
28,216,1,Simple,30.5,45,38,3,5.5,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:216
29,86,1,Simple,30.6,43,40,4,6.1,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:86
30,294,1,Simple,30.6,43,41,3,5.1,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:294
31,76,1,Simple,30.7,43,41,3,6.1,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:76
32,136,1,Simple,31.0,44,41,3,5.0,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:136
33,228,1,Simple,31.0,46,38,3,5.6,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:228
34,366,1,Simple,31.3,44,41,4,5.7,urn:cts:greekLit:tlg0096.tlg002.perry-grc1:366
